
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 3710: loss 1.2775 BPC, time 57.96ms, mfu 6.39%
iter 3720: loss 1.3010 BPC, time 55.73ms, mfu 6.42%
iter 3730: loss 1.2943 BPC, time 58.66ms, mfu 6.41%
iter 3740: loss 1.3033 BPC, time 57.37ms, mfu 6.42%
step 3750: train loss 1.0713 BPC, val loss 2.2954 BPC
iter 3750: loss 1.3083 BPC, time 7490.66ms, mfu 5.78%
iter 3760: loss 1.3510 BPC, time 57.69ms, mfu 5.85%
iter 3770: loss 1.3429 BPC, time 58.34ms, mfu 5.90%
iter 3780: loss 1.3311 BPC, time 56.91ms, mfu 5.97%
iter 3790: loss 1.2939 BPC, time 58.16ms, mfu 6.01%
iter 3800: loss 1.3264 BPC, time 56.63ms, mfu 6.07%
