
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 3190: loss 1.4383 BPC, time 63.27ms, mfu 5.71%
iter 3200: loss 1.3929 BPC, time 64.84ms, mfu 5.72%
iter 3210: loss 1.3859 BPC, time 64.22ms, mfu 5.73%
iter 3220: loss 1.3896 BPC, time 64.15ms, mfu 5.73%
iter 3230: loss 1.3761 BPC, time 62.16ms, mfu 5.76%
iter 3240: loss 1.3695 BPC, time 62.24ms, mfu 5.78%
step 3250: train loss 1.1828 BPC, val loss 2.2399 BPC
iter 3250: loss 1.3902 BPC, time 8057.46ms, mfu 5.21%
iter 3260: loss 1.3774 BPC, time 64.09ms, mfu 5.27%
iter 3270: loss 1.3977 BPC, time 61.46ms, mfu 5.35%
iter 3280: loss 1.3811 BPC, time 64.82ms, mfu 5.39%
iter 3290: loss 1.3642 BPC, time 64.79ms, mfu 5.43%
iter 3300: loss 1.3521 BPC, time 64.49ms, mfu 5.46%
iter 3310: loss 1.3605 BPC, time 63.99ms, mfu 5.50%
iter 3320: loss 1.3766 BPC, time 61.43ms, mfu 5.55%
iter 3330: loss 1.3786 BPC, time 62.25ms, mfu 5.60%
iter 3340: loss 1.3630 BPC, time 64.03ms, mfu 5.62%
iter 3350: loss 1.3721 BPC, time 61.75ms, mfu 5.66%
iter 3360: loss 1.3310 BPC, time 62.58ms, mfu 5.69%
iter 3370: loss 1.3703 BPC, time 64.84ms, mfu 5.70%
iter 3380: loss 1.3682 BPC, time 61.37ms, mfu 5.73%
iter 3390: loss 1.3719 BPC, time 64.12ms, mfu 5.74%
iter 3400: loss 1.3603 BPC, time 62.45ms, mfu 5.76%
iter 3410: loss 1.3579 BPC, time 61.86ms, mfu 5.79%
iter 3420: loss 1.3640 BPC, time 61.25ms, mfu 5.82%
iter 3430: loss 1.3600 BPC, time 61.74ms, mfu 5.84%
iter 3440: loss 1.4114 BPC, time 61.62ms, mfu 5.86%
iter 3450: loss 1.3685 BPC, time 62.11ms, mfu 5.88%
iter 3460: loss 1.3520 BPC, time 64.05ms, mfu 5.87%
iter 3470: loss 1.3504 BPC, time 64.71ms, mfu 5.86%
iter 3480: loss 1.3660 BPC, time 64.81ms, mfu 5.85%
iter 3490: loss 1.3231 BPC, time 64.99ms, mfu 5.84%
step 3500: train loss 1.1230 BPC, val loss 2.2690 BPC
iter 3500: loss 1.3037 BPC, time 8056.32ms, mfu 5.26%
iter 3510: loss 1.3124 BPC, time 64.36ms, mfu 5.31%
iter 3520: loss 1.3250 BPC, time 62.30ms, mfu 5.38%
iter 3530: loss 1.3605 BPC, time 61.69ms, mfu 5.44%
iter 3540: loss 1.3333 BPC, time 62.36ms, mfu 5.50%
iter 3550: loss 1.3411 BPC, time 64.02ms, mfu 5.53%
iter 3560: loss 1.3785 BPC, time 61.62ms, mfu 5.58%
iter 3570: loss 1.3420 BPC, time 65.35ms, mfu 5.59%
iter 3580: loss 1.3309 BPC, time 62.36ms, mfu 5.63%
iter 3590: loss 1.3350 BPC, time 64.35ms, mfu 5.65%
iter 3600: loss 1.3306 BPC, time 61.87ms, mfu 5.68%
iter 3610: loss 1.3218 BPC, time 64.22ms, mfu 5.70%
iter 3620: loss 1.3111 BPC, time 63.58ms, mfu 5.71%
