
step 0: train loss 6.0601 BPC, val loss 6.0586 BPC
iter 3380: loss 0.3340 BPC, time 315.03ms, mfu 7.32%
iter 3390: loss 0.3343 BPC, time 324.10ms, mfu 7.32%
iter 3400: loss 0.3424 BPC, time 313.20ms, mfu 7.35%
iter 3410: loss 0.3416 BPC, time 329.80ms, mfu 7.34%
iter 3420: loss 0.3489 BPC, time 307.56ms, mfu 7.38%
iter 3430: loss 0.3299 BPC, time 329.78ms, mfu 7.37%
iter 3440: loss 0.3501 BPC, time 320.27ms, mfu 7.37%
iter 3450: loss 0.3356 BPC, time 298.61ms, mfu 7.43%
iter 3460: loss 0.3426 BPC, time 321.27ms, mfu 7.43%
iter 3470: loss 0.3011 BPC, time 309.30ms, mfu 7.46%
iter 3480: loss 0.3353 BPC, time 322.86ms, mfu 7.45%
iter 3490: loss 0.3466 BPC, time 320.02ms, mfu 7.45%
step 3500: train loss 0.2001 BPC, val loss 4.1483 BPC
iter 3500: loss 0.3270 BPC, time 35728.78ms, mfu 6.71%
iter 3510: loss 0.3226 BPC, time 311.58ms, mfu 6.81%
iter 3520: loss 0.3295 BPC, time 325.04ms, mfu 6.86%
iter 3530: loss 0.3169 BPC, time 313.15ms, mfu 6.94%
iter 3540: loss 0.3062 BPC, time 300.13ms, mfu 7.04%
iter 3550: loss 0.3111 BPC, time 312.97ms, mfu 7.09%
iter 3560: loss 0.3112 BPC, time 303.33ms, mfu 7.17%
iter 3570: loss 0.3005 BPC, time 324.41ms, mfu 7.19%
iter 3580: loss 0.2999 BPC, time 302.88ms, mfu 7.26%
iter 3590: loss 0.2942 BPC, time 322.17ms, mfu 7.27%
iter 3600: loss 0.2903 BPC, time 318.02ms, mfu 7.29%
iter 3610: loss 0.2905 BPC, time 325.18ms, mfu 7.30%
iter 3620: loss 0.2796 BPC, time 323.92ms, mfu 7.30%
iter 3630: loss 0.2881 BPC, time 322.41ms, mfu 7.31%
iter 3640: loss 0.2799 BPC, time 311.37ms, mfu 7.35%
iter 3650: loss 0.2883 BPC, time 326.87ms, mfu 7.34%
iter 3660: loss 0.2925 BPC, time 314.34ms, mfu 7.37%
iter 3670: loss 0.2780 BPC, time 326.84ms, mfu 7.36%
iter 3680: loss 0.3056 BPC, time 311.24ms, mfu 7.39%
iter 3690: loss 0.2786 BPC, time 327.01ms, mfu 7.38%
iter 3700: loss 0.2799 BPC, time 312.89ms, mfu 7.40%
iter 3710: loss 0.2874 BPC, time 307.11ms, mfu 7.44%
iter 3720: loss 0.2871 BPC, time 324.83ms, mfu 7.43%
iter 3730: loss 0.2734 BPC, time 320.39ms, mfu 7.43%
iter 3740: loss 0.2689 BPC, time 323.30ms, mfu 7.42%
step 3750: train loss 0.1681 BPC, val loss 4.3639 BPC
iter 3750: loss 0.2557 BPC, time 35675.72ms, mfu 6.69%
iter 3760: loss 0.2730 BPC, time 324.47ms, mfu 6.75%
iter 3770: loss 0.2627 BPC, time 311.12ms, mfu 6.85%
iter 3780: loss 0.2899 BPC, time 323.47ms, mfu 6.90%
iter 3790: loss 0.2726 BPC, time 317.46ms, mfu 6.96%
iter 3800: loss 0.2665 BPC, time 329.78ms, mfu 6.99%
iter 3810: loss 0.2627 BPC, time 317.59ms, mfu 7.04%
