
iter 2560: loss 1.7351 BPC, time 311.65ms, mfu 7.36%
iter 2570: loss 1.7487 BPC, time 319.45ms, mfu 7.39%
iter 2580: loss 1.6439 BPC, time 293.75ms, mfu 7.49%
iter 2590: loss 1.7901 BPC, time 315.53ms, mfu 7.52%
iter 2600: loss 1.7169 BPC, time 322.06ms, mfu 7.53%
iter 2610: loss 1.8237 BPC, time 322.56ms, mfu 7.54%
iter 2620: loss 1.6876 BPC, time 320.17ms, mfu 7.55%
iter 2630: loss 1.6255 BPC, time 319.94ms, mfu 7.56%
iter 2640: loss 1.7914 BPC, time 309.47ms, mfu 7.60%
iter 2650: loss 1.7143 BPC, time 324.19ms, mfu 7.60%
iter 2660: loss 1.7780 BPC, time 304.74ms, mfu 7.65%
iter 2670: loss 1.6743 BPC, time 320.42ms, mfu 7.65%
iter 2680: loss 1.8159 BPC, time 325.04ms, mfu 7.64%
iter 2690: loss 1.7283 BPC, time 319.18ms, mfu 7.64%
iter 2700: loss 1.7552 BPC, time 301.26ms, mfu 7.70%
iter 2710: loss 1.7846 BPC, time 320.97ms, mfu 7.69%
iter 2720: loss 1.6925 BPC, time 314.67ms, mfu 7.70%
iter 2730: loss 1.7843 BPC, time 325.46ms, mfu 7.69%
iter 2740: loss 1.7003 BPC, time 316.14ms, mfu 7.70%
step 2750: train loss 1.6552 BPC, val loss 1.6767 BPC
saving checkpoint to out-enwik-char
iter 2750: loss 1.7508 BPC, time 38276.44ms, mfu 6.93%
iter 2760: loss 1.6969 BPC, time 318.19ms, mfu 7.01%
iter 2770: loss 1.6029 BPC, time 306.29ms, mfu 7.11%
iter 2780: loss 1.6252 BPC, time 318.21ms, mfu 7.17%
iter 2790: loss 1.7254 BPC, time 320.65ms, mfu 7.22%
iter 2800: loss 1.7517 BPC, time 319.50ms, mfu 7.27%
iter 2810: loss 1.7932 BPC, time 322.33ms, mfu 7.30%
iter 2820: loss 1.7297 BPC, time 311.29ms, mfu 7.36%
iter 2830: loss 1.6641 BPC, time 322.80ms, mfu 7.39%
iter 2840: loss 1.6757 BPC, time 300.27ms, mfu 7.47%
